id,error,cluster
93142,6.010895302740392,3
64324,4.892780290436244,0
20494,3.528074575096097,2
58311,4.279921539594934,2
97703,5.625500599693069,3
86655,3.256493000680737,2
148943,6.3301169853640715,1
27678,4.847436357364382,1
74914,4.9942905890993785,3
104311,5.54104948096879,1
124382,3.592297211403757,0
52650,6.670900828616553,0
182957,11.555451721702006,1
171135,3.797040823868138,1
37314,4.651631855209597,1
65353,4.049743145200663,0
197251,6.327813586657953,1
186657,3.8930607515477558,0
181993,3.4456207228123077,3
76008,3.1467272406696303,1
100456,5.911107240646169,2
131336,3.227160608575489,0
132608,4.63923196430525,1
218362,3.727165640289579,3
99564,5.165526032816723,0
210394,4.784051675695254,0
70889,5.791788947243409,2
31212,4.4042824923660895,0
60607,4.73100109792599,2
55004,8.340286055827196,2
212285,3.541664883580645,0
19821,7.794762799682728,3
193943,4.944760063586135,1
52313,8.989682996077212,1
24025,3.215049624178702,1
47375,3.5541965040469563,2
212434,7.0686133347279,3
119068,4.957376982535342,1
90255,4.29289522421645,2
123449,3.4957560515694426,2
91169,5.131881918767009,2
50379,3.575800580605443,3
163344,6.0840619411169286,0
70510,3.952178131856633,0
157073,4.796827129421947,1
214903,3.898358119886384,1
209462,4.8481490682699935,0
75272,3.666864448759304,2
118881,3.198414984502488,0
188890,3.7002112474674167,0
73034,5.279449630394655,1
84707,5.745156723468509,0
201126,3.4813166877496737,1
107404,4.74415160219705,3
54807,7.855833358674715,1
63600,3.365298400259653,2
149416,3.90874741293503,1
117280,3.819033019841342,0
217433,6.876317785862008,3
98453,3.366409948153893,0
129490,10.899185043370707,3
88918,4.440099940195822,2
89914,8.730555374059769,2
193761,4.742928852461902,1
200330,5.745848943367185,1
120938,6.046712533308034,1
152648,3.9271215673030033,0
122405,3.822977565743429,3
118470,6.4669925450594,0
205312,4.448436604178129,0
127411,5.63931381984648,3
12635,15.28485548980862,3
156979,4.294706479505192,0
41302,5.384919646281871,0
148735,3.523242672321606,1
24336,4.985159600743067,0
13358,5.695149953600695,2
26836,10.039187708300714,0
12416,6.037463436785091,0
103093,3.7834623687166964,1
133751,5.080119923092941,1
85647,6.788818645529969,2
34785,3.5021199636068863,2
210498,7.148979036399805,1
4383,4.717482586188705,0
202707,4.219847813369815,2
185916,5.3974966512449765,0
125392,3.4430077883706147,0
69521,4.459410107779055,1
99548,5.099964822508953,2
103079,4.215614480724771,1
187027,7.2353952937897095,1
209768,4.57018240187783,2
116469,3.848298053995636,3
37415,3.137412622664405,3
25178,3.582766066668473,1
99756,3.7384986543007517,0
101977,10.718300793422218,3
56987,4.447212096864252,3
202221,3.513777264084574,0
83592,5.1719249628301505,3
79048,4.814034881559199,0
26883,4.762762842235697,0
102364,4.781311216203436,3
46808,5.482445779762928,3
64153,4.931187024148748,3
125105,3.1874870366611416,0
48693,9.823898171743028,3
157388,3.5543243507048325,1
83261,4.684044778089577,2
97868,4.009311846600241,0
51332,3.3737470589628433,0
28232,3.3171896691287373,3
76959,6.643503848419822,3
206256,4.799145519646103,0
110717,8.823951048990356,0
191852,3.278683300275482,1
1984,6.838565843219424,2
145388,3.765824395211485,1
19350,3.4671353660344124,1
197115,4.224294641441883,0
194525,5.813056481078419,1
100124,3.923690995224277,2
8021,3.2348665362474556,3
55505,3.398860693184866,0
8675,6.557063416216041,0
125011,4.988996548314345,1
210284,3.2863443489074466,0
94260,8.109900792054603,2
23536,3.203789740376708,1
24199,3.457276713190579,0
157016,7.121528833093157,1
187049,7.940644410174144,2
99575,6.966329615378581,3
29918,7.541786785769222,3
29082,3.8577133056074917,3
168001,3.9623323676639917,0
74970,6.469306125609922,2
132472,3.7895500151780066,0
96336,3.7773155423394478,1
182768,6.316891129886374,2
16406,4.915745792153637,0
120562,3.2154352099048467,0
30382,3.7439789248822457,1
122987,3.2558157859246073,3
151043,3.3398133844306117,1
1761,6.654022872880521,2
58094,4.831142648674037,1
89478,3.5607597564047264,3
191441,3.230969111329475,0
151981,3.190369846074937,1
58454,6.840271026533795,1
70995,4.9247857843569225,2
176036,3.21559931721056,1
186569,3.3579229670553534,1
201582,4.286710557130422,0
69025,7.587067323934607,0
35729,7.739973419141032,0
158984,4.138974596532049,0
84192,4.107399398696053,3
51151,4.9551504820763395,2
51653,4.113584491394978,2
106549,7.289161295641895,2
111611,4.861845717074308,0
105313,5.433198780067512,1
184544,6.369055841122548,0
93809,3.9978660892268003,1
185505,7.252397930946088,1
112820,4.850799574785141,0
123813,7.543297006918074,3
149049,4.081258969033272,1
148994,4.343483068552208,2
90873,7.197798002819491,2
199795,9.40523071593423,3
71486,3.42350698692726,0
69767,4.14189334935992,0
40200,3.705717360914454,0
35827,4.387694453640814,2
56925,4.538954802486706,0
179853,3.7450443008454117,1
99322,3.6224135204663748,0
