feat,frac_na,n_unique,std,min,max,range,top_val_frac
product_mordred_PPSA3,0.07059220896194551,33020,8.224537799620645,4.638362782531367,90.37956362408156,85.74120084155018,3.0284675953967292e-05
product_mordred_DPSA3,0.07059220896194551,33020,21.535068583483287,34.194279899726524,255.94785644173675,221.75357654201022,3.0284675953967292e-05
product_mordred_FNSA1,0.07059220896194551,33020,0.09049118571905372,0.1917432755547049,0.8553493712535217,0.6636060956988168,3.0284675953967292e-05
product_mordred_FNSA2,0.07059220896194551,33020,0.50291456652821,-4.954254915193606,-0.3373187585860961,4.61693615660751,3.0284675953967292e-05
product_mordred_FNSA3,0.07059220896194551,33020,0.02107726887532942,-0.2231484034512715,-0.0193220861556156,0.2038263172956559,3.0284675953967292e-05
product_mordred_FNSA4,0.07059220896194551,33020,0.008752054063869811,-0.0890940669638171,-0.0061234709239927,0.0829705960398244,3.0284675953967292e-05
product_mordred_FPSA2,0.07059220896194551,33020,0.6887339245684819,0.3289060018822615,6.075864510580127,5.746958508697865,3.0284675953967292e-05
product_mordred_FPSA5,0.07059220896194551,33020,0.007092103928038631,0.0179998555073997,0.0905691776092527,0.072569322101853,3.0284675953967292e-05
product_mordred_WNSA5,0.07059220896194551,33020,18.0390244529496,-182.625178963116,-6.75235112264889,175.87282784046712,3.0284675953967292e-05
product_mordred_RNCG,0.07059220896194551,33020,0.03643047174722132,0.0529824526312898,0.4368517922923916,0.3838693396611018,3.0284675953967292e-05
product_mordred_RPCS,0.07059220896194551,24765,63.00919998692871,0.0,911.2679345393724,911.2679345393724,0.25003028467595395
product_mordred_TPSA,0.07059220896194551,33020,65.68473886603854,10.437922417512414,661.8993695577346,651.4614471402223,3.0284675953967292e-05
product_mordred_GeomRadius,0.0649628462058095,33220,1.8319929245210738,4.598368922399208,21.97018521367601,17.3718162912768,3.0102347983142685e-05
product_mordred_VMcGowan,0.0649628462058095,14007,101.19543825205587,156.56000000000003,768.0000000000002,611.4400000000002,0.0004214328717639976
product_mordred_Mor07,0.0649628462058095,33220,2.492037612352356,-1.528647622003486,19.37591801947641,20.904565641479895,3.0102347983142685e-05
product_mordred_Mor09,0.0649628462058095,33220,1.3356683262185296,-5.6658184311692,7.5693229070522365,13.235141338221435,3.0102347983142685e-05
product_mordred_Mor20,0.0649628462058095,33220,1.0958162623045629,-0.1403615318340755,8.224654433966894,8.36501596580097,3.0102347983142685e-05
product_mordred_Mor22,0.0649628462058095,33220,0.5007472314393765,-2.584404188477816,2.673857591794068,5.258261780271884,3.0102347983142685e-05
product_mordred_Mor29,0.0649628462058095,33220,0.4968338111904168,-3.591223813580812,0.6551926796189702,4.246416493199782,3.0102347983142685e-05
product_mordred_Mor02m,0.0649628462058095,33220,12.907033277210544,-66.85904824551719,68.71272066749711,135.5717689130143,3.0102347983142685e-05
product_mordred_Mor03m,0.0649628462058095,33220,3.2565530895488903,-24.33418323831095,18.39152632058612,42.725709558897066,3.0102347983142685e-05
product_mordred_Mor04m,0.0649628462058095,33220,2.2804674748147353,-26.039562670642024,12.107391753956366,38.14695442459839,3.0102347983142685e-05
product_mordred_Mor06m,0.0649628462058095,33220,1.910366296569632,-14.795535395176955,14.393445123392762,29.188980518569718,3.0102347983142685e-05
product_mordred_Mor09m,0.0649628462058095,33220,1.2171215305711898,-9.740940771187397,4.239995877619204,13.980936648806601,3.0102347983142685e-05
product_mordred_Mor11m,0.0649628462058095,33220,0.7389478884710378,-5.731308589952124,4.4359959392053465,10.16730452915747,3.0102347983142685e-05
product_mordred_Mor13m,0.0649628462058095,33220,0.7770520527869348,-5.91649071816855,1.918672223205556,7.835162941374106,3.0102347983142685e-05
product_mordred_Mor17m,0.0649628462058095,33220,0.47670789606129926,-2.6429157257717333,3.0494372096197626,5.6923529353914954,3.0102347983142685e-05
product_mordred_Mor19m,0.0649628462058095,33220,0.545720365190337,-3.3483328043347806,3.7193248974870894,7.0676577018218705,3.0102347983142685e-05
product_mordred_Mor25m,0.0649628462058095,33220,0.4744029276857749,-1.8712998980953364,2.958624016828786,4.829923914924122,3.0102347983142685e-05
product_mordred_Mor27m,0.0649628462058095,33220,0.38545304456333296,-2.937325540449602,1.3270704565745268,4.2643959970241285,3.0102347983142685e-05
product_mordred_Mor30m,0.0649628462058095,33220,0.26255637090812706,-1.7080948886520222,1.9541930333878248,3.662287922039847,3.0102347983142685e-05
product_mordred_Mor02v,0.0649628462058095,33220,10.007576536811301,-5.942680465751245,68.58217080585025,74.5248512716015,3.0102347983142685e-05
product_mordred_Mor03v,0.0649628462058095,33220,2.172471344780278,-14.40427059184409,9.669375426876858,24.07364601872095,3.0102347983142685e-05
product_mordred_Mor04v,0.0649628462058095,33220,1.4746538110307545,-8.422689267583676,8.490989730454695,16.91367899803837,3.0102347983142685e-05
product_mordred_Mor06v,0.0649628462058095,33220,0.9290681032797007,-3.2313581268289298,7.623245409286427,10.854603536115356,3.0102347983142685e-05
product_mordred_Mor15v,0.0649628462058095,33220,0.610820487054953,-0.4625647340590346,4.27729674822539,4.739861482284424,3.0102347983142685e-05
product_mordred_Mor17v,0.0649628462058095,33220,0.3436638098177602,-2.3123738256016084,1.284814832227039,3.5971886578286476,3.0102347983142685e-05
product_mordred_Mor19v,0.0649628462058095,33220,0.4720219162341588,-1.156987784379969,2.859596654717869,4.016584439097838,3.0102347983142685e-05
product_mordred_Mor05se,0.0649628462058095,33220,3.378043325247715,-27.99096909369522,-2.8173585974298785,25.17361049626534,3.0102347983142685e-05
product_mordred_Mor06se,0.0649628462058095,33220,2.110560321883018,-14.998891120996865,6.309579568086334,21.308470689083197,3.0102347983142685e-05
product_mordred_Mor30se,0.0649628462058095,33220,0.32182735894189907,-1.4576599771727965,1.8350330878857823,3.292693065058579,3.0102347983142685e-05
product_mordred_Mor09p,0.0649628462058095,33220,0.7750881851979453,-4.743412593772442,4.301304278000184,9.044716871772625,3.0102347983142685e-05
product_mordred_Mor20p,0.0649628462058095,33220,0.6592021935451476,-0.4184348403434946,4.802593222001814,5.221028062345309,3.0102347983142685e-05
product_mordred_Mor22p,0.0649628462058095,33220,0.27080767236928377,-1.2212151161452895,1.3207779780842477,2.5419930942295372,3.0102347983142685e-05
product_mordred_Mor23p,0.0649628462058095,33220,0.3573260851406108,-2.797445384045823,0.4451543598789833,3.242599743924806,3.0102347983142685e-05
product_mordred_Mor30p,0.0649628462058095,33220,0.16635061800149614,-0.875739959354726,0.8964927288201464,1.7722326881748725,3.0102347983142685e-05
product_mordred_Mor31p,0.0649628462058095,33220,0.3117835013419404,-0.6324025169832613,2.654420821054165,3.2868233380374265,3.0102347983142685e-05
product_mordred_PBF,0.0649628462058095,33220,0.24170124554791297,0.3900979286424032,2.434872922152664,2.0447749935102606,3.0102347983142685e-05
product_mordred_bpol,0.0649628462058095,16104,13.092647792250187,12.742656,116.618146,103.87549,0.0003612281757977122
product_mordred_TopoPSA(NO),0.0649628462058095,9219,44.893544839161805,29.46,441.0200000000001,411.5600000000001,0.011288380493678507
product_mordred_AMW,0.0649628462058095,18102,1.3682210655551093,5.317152267812517,19.33626618342858,14.019113915616064,0.00024081878386514148
