donor_id,acceptor_id,donor_smiles,acceptor_smiles
HHJIUXAGVRVOGW-UHFFFAOYSA-N,FPIHJXKGOPPJJK-LVRPUCJCSA-N,O=CCC1=CCC(=O)C=C1S(=O)(=O)O,CSCOC12C(=O)N[C@H](C)[C@H](OC1=O)C2C=O
UNUZPWBMYHRIPW-UHFFFAOYSA-N,RTSPCRQPYVTRNU-UHFFFAOYSA-N,O=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF,O=CC1CCC(COOSCCC(F)(F)F)CC1
RTSPCRQPYVTRNU-UHFFFAOYSA-N,UNUZPWBMYHRIPW-UHFFFAOYSA-N,O=CC1CCC(COOSCCC(F)(F)F)CC1,O=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF
LMHBHRHNWGVLCL-UHFFFAOYSA-N,IGTZSVHNJJEZJL-CCGCGBOQSA-N,COC(OC)C(C[N+](=O)[O-])C(C=O)C(C)C,O=C[C@@H](F)[C@H](OC(=O)CO)[C@@H](Br)COC(=O)CO
IGTZSVHNJJEZJL-CCGCGBOQSA-N,LMHBHRHNWGVLCL-UHFFFAOYSA-N,O=C[C@@H](F)[C@H](OC(=O)CO)[C@@H](Br)COC(=O)CO,COC(OC)C(C[N+](=O)[O-])C(C=O)C(C)C
IFMSZVKYWQGYCQ-UHFFFAOYSA-N,VUACNOHHPHJMAI-UHFFFAOYSA-N,N=S(=O)(CCC(C(=O)O)C(F)(F)F)CCC(N)(C=O)CO,O=CC[Se]C(=[Se])N1CCCCC1
VUACNOHHPHJMAI-UHFFFAOYSA-N,IFMSZVKYWQGYCQ-UHFFFAOYSA-N,O=CC[Se]C(=[Se])N1CCCCC1,N=S(=O)(CCC(C(=O)O)C(F)(F)F)CCC(N)(C=O)CO
HOVWWEPNWAGFQN-HFXXUHSDSA-N,MJBHDIXTANJKQT-HACHORDNSA-N,O=CCOC(CCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)C(=O)O,O=C[C@@H]1CC(C2CCCC(F)C2)=NO1
MJBHDIXTANJKQT-HACHORDNSA-N,HOVWWEPNWAGFQN-HFXXUHSDSA-N,O=C[C@@H]1CC(C2CCCC(F)C2)=NO1,O=CCOC(CCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)C(=O)O
YGCXTXDUVDUXIG-UHFFFAOYSA-N,LFQKTCQRZHAMNZ-BXXMFMFASA-N,CC1=NN(C(F)F)C(C=O)N1C(F)F,C=C/C(F)=C\C(=C(/C)Cl)C(C)(C)C=O
LFQKTCQRZHAMNZ-BXXMFMFASA-N,YGCXTXDUVDUXIG-UHFFFAOYSA-N,C=C/C(F)=C\C(=C(/C)Cl)C(C)(C)C=O,CC1=NN(C(F)F)C(C=O)N1C(F)F
FSYZDRPGVPKIQB-UHFFFAOYSA-N,REZZXLSXARRMEG-UHFFFAOYSA-N,C=COOC1CC(C)CCC1CCC=O,O=CCC=C(C(=O)C(=O)O)[N+](=O)[O-]
REZZXLSXARRMEG-UHFFFAOYSA-N,FSYZDRPGVPKIQB-UHFFFAOYSA-N,O=CCC=C(C(=O)C(=O)O)[N+](=O)[O-],C=COOC1CC(C)CCC1CCC=O
VCCNUBRVJFUPPB-GHMZBOCLSA-N,KPBULJFSNASRMC-UHFFFAOYSA-N,CC(C)[C@H]1C=C(CC=O)[C@H](C)CC1,CC(C)CSCC(C=O)SCC(C)C
