pid,grp,new_scaffold_split,label_stored,gxtb_stored,dG_r2scan_kcal,dG_b973c_kcal,dG_gxtb_kcal,resid_gxtb,resid_b973c,repro_r2scan,repro_gxtb,gxtb_mode,error
explore_183896_88530,cross_explore_20260920,,,,-4.094072067182936,2.4836377562051664,-2.075808822409456,-2.0182632447734803,-6.577709823388103,,,cosmo,
explore_69894_52866,cross_explore_20260920,,,,-1.4922852581863864,1.7059995884279666,-3.164807165435101,1.6725219072487143,-3.198284846614353,,,cosmo,
explore_17514_193578,cross_explore_20260920,,,,2.349107597012754,7.957138628987831,8.467419431907633,-6.118311834894879,-5.608031031975077,,,cosmo,
explore_148253_74234,cross_explore_20260920,,,,-3.3487238781556536,2.580654035804613,0.4521009801434436,-3.800824858299097,-5.929377913960266,,,cosmo,
explore_189947_33190,cross_explore_20260920,,,,-4.316968857330331,0.6428407931786786,-0.007209287433798,-4.309759569896533,-4.95980965050901,,,cosmo,
explore_197666_175875,cross_explore_20260920,,,,3.627887650194469,7.977413049209139,4.353294898164048,-0.7254072479695788,-4.34952539901467,,,cosmo,
explore_169400_50939,cross_explore_20260920,,,,6.696983632925963,11.453835971313428,7.910892243124093,-1.2139086101981302,-4.756852338387465,,,cosmo,
explore_125909_89348,cross_explore_20260920,,,,4.509083341959578,9.84781607545528,6.367189499997962,-1.8581061580383835,-5.338732733495703,,,cosmo,
explore_209048_43843,cross_explore_20260920,,,,4.593016934600779,12.023432820450145,8.544689203944365,-3.951672269343586,-7.430415885849365,,,cosmo,
explore_137632_128171,cross_explore_20260920,,,,5.84951587897551,10.750828083048846,4.202253206433925,1.6472626725415855,-4.901312204073336,,,cosmo,
explore_65969_199231,cross_explore_20260920,,,,7.117225182664692,11.16562439016334,4.491773669043919,2.625451513620773,-4.048399207498649,,,cosmo,
explore_196651_44064,cross_explore_20260920,,,,3.615102916793224,8.979759053660803,4.340530394238668,-0.7254274774454439,-5.36465613686758,,,cosmo,
explore_10733_208073,cross_explore_20260920,,,,2.703061864035512,7.131536322283459,-2.1694923252876177,4.87255418932313,-4.428474458247948,,,cosmo,
explore_140578_23299,cross_explore_20260920,,,,-2.223890766453517,2.891925267733583,2.1268545552209,-4.350745321674417,-5.1158160341871,,,cosmo,
explore_138943_168733,cross_explore_20260920,,,,0.3726064607154181,4.277352985767072,4.296951991710869,-3.924345530995451,-3.904746525051654,,,cosmo,
explore_97261_90513,cross_explore_20260920,,,,-0.8504990877537996,4.002811854064802,2.5603755079936734,-3.410874595747473,-4.853310941818602,,,cosmo,
explore_43233_210828,cross_explore_20260920,,,,-0.3224341494321198,3.343297405185709,1.615896405292018,-1.9383305547241376,-3.665731554617829,,,cosmo,
