name,SMILES,molecular_formula,MW,InChIKey,PubChem_CID,cho_class,xtb_risk
"N'-[4-[(2Z,4E)-5-(difluoromethoxy)-2-methanimidoylpenta-2,4-dienyl]-2-formyl-6,7-dihydronaphthalen-1-yl]-N-methyl-N-(oxan-4-yl)methanimidamide",CN(C=NC1=C(C=C(C2=CCCC=C21)C/C(=C/C=C/OC(F)F)/C=N)C=O)C3CCOCC3,C25H29F2N3O3,457.5,KEVMYIMLEPZUBS-RGTXSDLESA-N,144145675,aromatic_carbo,
2-formyl-3-iodo-5-(trifluoromethyl)benzamide,C1=C(C=C(C(=C1C(=O)N)C=O)I)C(F)(F)F,C9H5F3INO2,343.04,DCZVCMGSKKBMFA-UHFFFAOYSA-N,171016277,aromatic_carbo,
"3,4-difluoro-2-[(3-fluoro-1lambda3-iodacyclohexa-1,3,5-trien-4-yl)amino]-5-formyl-N-(2-hydroxyethoxy)benzamide",C1=CI=CC(=C1NC2=C(C=C(C(=C2F)F)C=O)C(=O)NOCCO)F,C15H12F3IN2O4,468.17,KVHISNZEFUHGGN-UHFFFAOYSA-N,142687116,aromatic_carbo,
"4-[(8S,11R,13S,14S,17S)-4-bromo-17-methoxy-13-methyl-3-oxo-2,6,7,8,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-11-yl]benzaldehyde",C[C@]12C[C@@H](C3=C4CCC(=O)C(=C4CC[C@H]3[C@@H]1CC[C@@H]2OC)Br)C5=CC=C(C=C5)C=O,C26H29BrO3,469.4,SBALUDSFFMBVOO-QOIABQFBSA-N,12095725,aromatic_carbo,
"(1S,9R,10R)-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2,4,6,13-tetraene-6-carbaldehyde",C1C[C@H]2[C@H]3CC4=C(C=CC=C4[C@@]2(CCN3)C=C1)C=O,C17H19NO,253.34,MVHQSYCNLKYNEW-BBWFWOEESA-N,129670507,aromatic_carbo,
3-[3-[5-(2-aminoethoxy)-1-benzothiophen-4-yl]-4-fluoroanilino]sulfanyl-5-chloro-4-hydroxybenzaldehyde,C1=CC(=C(C=C1NSC2=C(C(=CC(=C2)C=O)Cl)O)C3=C(C=CC4=C3C=CS4)OCCN)F,C23H18ClFN2O3S2,489.0,GTHUSRWJLBOVQQ-UHFFFAOYSA-N,169814938,aromatic_carbo,
"3-[1-ethyl-1-(2-hydroxyethyl)-6-propan-2-yl-4,9-dihydro-3H-pyrano[3,4-b]indol-8-yl]benzaldehyde",CCC1(C2=C(CCO1)C3=C(N2)C(=CC(=C3)C(C)C)C4=CC=CC(=C4)C=O)CCO,C25H29NO3,391.5,OHOZDJHIIQDBNB-UHFFFAOYSA-N,11429261,aromatic_carbo,
"2-chloro-4-[[3-(2,3-difluoro-4-methoxycyclohexa-1,5-dien-1-yl)imidazo[1,2-a]pyrazin-8-yl]amino]benzaldehyde",COC1C=CC(=C(C1F)F)C2=CN=C3N2C=CN=C3NC4=CC(=C(C=C4)C=O)Cl,C20H15ClF2N4O2,416.8,DYBCQPWUCHCYDN-UHFFFAOYSA-N,169568408,aromatic_carbo,
"(5S,8R)-3,4-dihydroxy-1-(2-hydroxy-4-methyl-3,6-dioxocyclohexa-1,4-dien-1-yl)-5-methyl-8-propan-2-yl-5,6,7,8-tetrahydronaphthalene-2-carbaldehyde",C[C@H]1CC[C@@H](C2=C1C(=C(C(=C2C3=C(C(=O)C(=CC3=O)C)O)C=O)O)O)C(C)C,C22H24O6,384.4,NAMRVMWYSKEEBE-CMPLNLGQSA-N,156580806,aromatic_carbo,
"(3R)-2,3-diamino-3-[1-(cyclopropylmethyl)-5,6-difluoroindol-2-yl]-7-oxatricyclo[6.3.1.04,12]dodeca-1(12),8,10-triene-10-carbaldehyde",C1CC1CN2C3=CC(=C(C=C3C=C2[C@]4(C5CCOC6=CC(=CC(=C56)C4N)C=O)N)F)F,C24H23F2N3O2,423.5,CROLTLFYDLUNIZ-ZBYWLKIMSA-N,175338082,aromatic_carbo,
"ethyl 8-[(2S,3R)-3-amino-2-(hydroxymethyl)pyrrolidin-1-yl]-7-fluoro-9-formyl-5-oxo-[1,3]thiazolo[3,2-a]quinoline-4-carboxylate",CCOC(=O)C1=C2N(C=CS2)C3=C(C(=C(C=C3C1=O)F)N4CC[C@H]([C@H]4CO)N)C=O,C20H20FN3O5S,433.5,MPSAGWRCMCBYSL-ZIAGYGMSSA-N,88967627,aromatic_carbo,
2-[1-[7-formyl-6-(trifluoromethoxy)quinazolin-4-yl]piperidin-4-yl]ethylphosphonic acid,C1CN(CCC1CCP(=O)(O)O)C2=NC=NC3=C2C=C(C(=C3)C=O)OC(F)(F)F,C17H19F3N3O5P,433.3,KROJRZCAJKGOGJ-UHFFFAOYSA-N,170014352,aromatic_carbo,phosphorus
"8-chloro-2,7-dimethyl-2-[(E)-2-[(1R,6R)-1,2,6-trimethyl-3-oxocyclohexyl]ethenyl]-3,4-dihydrochromene-6-carbaldehyde",C[C@@H]1CCC(=O)C([C@@]1(C)/C=C/C2(CCC3=CC(=C(C(=C3O2)Cl)C)C=O)C)C,C23H29ClO3,388.9,OXDUTCYXBBLDTE-PPLIBBGASA-N,44353925,aromatic_carbo,
"2-[(1R)-7-[1-(difluoromethyl)pyrazol-4-yl]-3-(dimethylamino)-2,3-dihydro-1H-pyrrolo[1,2-a]benzimidazol-1-yl]-3-ethynylbenzaldehyde",CN(C)C1C[C@@H](N2C1=NC3=C2C=C(C=C3)C4=CN(N=C4)C(F)F)C5=C(C=CC=C5C#C)C=O,C25H21F2N5O,445.5,QJFIDIKZJNPRPH-ZMFCMNQTSA-N,177154553,aromatic_carbo,
