pid,grp,label_stored,gxtb_stored,error,dG_r2scan_kcal,dG_b973c_kcal,dG_gxtb_kcal,resid_gxtb,resid_b973c,repro_r2scan,repro_gxtb,gxtb_mode
WGHJLRMUHZIXGD-UHFFFAOYSA-N__QVRKJZUJNTYHPY-UHFFFAOYSA-N,hetero_hardtail,3.5387794738952256,6.0221,,3.061438016572069,7.843260732332586,5.985345875054754,-2.9239078584826848,-4.781822715760517,-0.4773414573231567,-0.0367541249452463,cosmo
JZEBIZSENOXNQJ-XMMPIXPASA-N__DGVOSAOXUJRINT-UHFFFAOYSA-N,hetero_hardtail,8.178713930584594,3.9368,,5.781564588428933,10.38481396825302,3.9367144376846928,1.84485015074424,-4.603249379824086,-2.3971493421556618,-8.556231530709724e-05,cosmo
IMJXZJWZJYUUQK-UHFFFAOYSA-N__SGCLSPFAYOHOOF-RYUDHWBXSA-N,hetero_hardtail,11.64912794300573,4.2779,,3.4269174365992794,8.488337410079177,4.567138555056892,-1.1402211184576123,-5.061419973479898,-8.222210506406451,0.2892385550568921,cosmo
RTSFIEXZIAALMT-UHFFFAOYSA-N__MSEGSYMVTMWEDB-UHFFFAOYSA-N,hetero_hardtail,7.497715392606057,1.1057,,-0.6931057854754242,2.439203551024945,-0.994181328038538,0.3010755425631136,-3.1323093365003696,-8.190821178081482,-2.0998813280385376,cosmo
HEWKRXBEFZRQOD-DCIOMXRHSA-N__PBBISWMMBXAYNP-UHFFFAOYSA-N,hetero_hardtail,10.508112133608892,9.0142,,3.273044740419374,9.079489175168463,7.796219610700429,-4.523174870281055,-5.806444434749091,-7.235067393189517,-1.217980389299572,cosmo
FYXDAYQQMWSHPJ-GUBZILKMSA-N__GMBOJSOBSILDFR-UHFFFAOYSA-N,hetero_hardtail,12.412728561194132,-7.154,,4.580102312677834,9.989970099637665,-1.8139725285723145,6.3940748412501485,-5.409867786959829,-7.832626248516298,5.340027471427685,cosmo
IJIMLODXDFZQRB-UHFFFAOYSA-N__SAUXNXJPLASOMO-UHFFFAOYSA-N,hetero_hardtail,13.395962570703034,5.9262,,6.071559607265336,10.080132952900218,7.688695012487608,-1.617135405222272,-4.008573345634882,-7.324402963437698,1.7624950124876086,cosmo
WYPHOQDLVAXAIR-VCOUNFBDSA-N__NPABCQFFQVXDLG-UHFFFAOYSA-N,hetero_hardtail,-3.59595327793544,-0.1404,,-1.4470683477997717,0.8016909473795192,-0.1301374537020057,-1.316930894097766,-2.248759295179291,2.1488849301356687,0.0102625462979942,cosmo
KVHDANCBLMYBDM-UHFFFAOYSA-N__KDHWWKAFVYQSCW-UHFFFAOYSA-N,hetero_hardtail,10.242591430865094,-7.8076,,-0.0931811379175304,3.114588024005956,-7.829714737828292,7.736533599910762,-3.207769161923486,-10.335772568782623,-0.0221147378282919,cosmo
OUPHGQPIQOTSHW-UHFFFAOYSA-N__AYIUVSGXXGAHQH-UHFFFAOYSA-N,hetero_hardtail,3.915897209568156,-4.061,,-3.0197256238559467,2.703603909989888,-4.060808625288846,1.0410830014328996,-5.723329533845835,-6.935622833424103,0.0001913747111537,cosmo
