ald_id,smiles,aldehyde_in_table,category,n_attempts,error_raw
117906,CS(=O)(=O)OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)OS(=O)(=O)C)O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152633/cb_24128375_1178/cb_featurize_4003673/prod_117906/conf/ff083/input.xyz'
117910,CS(=O)(=O)OC[C@H]([C@H]([C@@H]([C@H](C=O)O)OS(=O)(=O)C)O)O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152633/cb_24128375_1178/cb_featurize_4003673/prod_117910/conf/sp091'
117918,C1C(O1)CC(CC=O)C(=O)CC2CO2,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152633/cb_24128375_1178/cb_featurize_4003673/prod_117918/conf/sp234'
117951,CCC(C=O)O[Si](C)(C)C,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152633/cb_24128375_1178/cb_featurize_4003673/prod_117951/conf/ff265'
118053,CCOCCC1=CC(=C(S1)SCC)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152634/cb_24128375_1179/cb_featurize_814131/prod_118053/conf/sp536'
118059,CCCCCCCCN1C(=CC(=C1C2=CC=C(S2)C)C=O)C3=CC=C(S3)C,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152635/cb_24128375_1180/cb_featurize_3367545/prod_118059/conf/sp285'
118073,CCCC1=CC2=C(C(=C1O)C=O)OC=C(C2=O)C3=NC4=CC=CC=C4S3,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152635/cb_24128375_1180/cb_featurize_3367545/prod_118073/conf/sp256/input.xyz'
118123,CO[C@H](CO)[C@@H](C=O)OC,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152635/cb_24128375_1180/cb_featurize_3367545/prod_118123/conf/ff303'
118160,CCOC(=O)C(=CC1=CC=C(S1)C=O)C(OCC)(OCC)OCC,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152640/cb_24128375_1181/cb_featurize_3369895/prod_118160/conf/ff315'
118180,C[C@@H](C(=O)OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)NC(=O)OCC1=CC=CC=C1,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152640/cb_24128375_1181/cb_featurize_3369895/prod_118180/conf/sp104'
118182,C1=CC=C(C=C1)COC(=O)NCC(=O)OC[C@H]([C@@H]([C@@H]([C@@H](C=O)O)O)O)O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152640/cb_24128375_1181/cb_featurize_3369895/prod_118182/conf/ff246/input.xyz'
118218,C(C=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152640/cb_24128375_1181/cb_featurize_3369895/prod_118218/conf/ff300'
118234,C(CC(=O)O)C(=O)C(CC(=O)O)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152640/cb_24128375_1181/cb_featurize_3369895/prod_118234/conf/sp515'
118242,COC[C@@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152640/cb_24128375_1181/cb_featurize_3369895/prod_118242/conf/ff388'
118245,CCCCSC1=C(C=CS1)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24152640/cb_24128375_1181/cb_featurize_3369895/prod_118245/conf/ff033'
