bdfe_gxtb_kcal,id,bde_gxtb_kcal
59.731,384,59.308
59.712,385,59.761
61.326,386,62.114
78.868,387,82.699
59.916,388,59.217
64.868,389,64.128
35.69,390,32.665
59.527,391,54.415
58.522,392,53.948
62.403,393,45.094
57.822,394,38.511
60.27,395,55.768
,396,
75.075,397,75.762
73.67,398,76.488
59.196,399,54.959
75.521,400,77.174
71.077,401,70.011
70.723,402,75.552
52.722,403,45.152
52.908,404,49.195
53.474,405,51.343
71.597,406,67.52
66.704,407,50.872
70.075,408,58.922
73.268,409,67.78
73.609,410,68.182
57.531,411,58.765
57.436,412,41.897
71.389,413,61.536
58.449,414,53.205
61.117,415,57.402
72.203,416,60.615
68.75,417,56.625
64.369,418,47.774
59.549,419,45.238
72.947,420,65.905
54.654,421,41.416
57.836,422,52.09
63.812,423,57.375
60.23,424,58.396
58.766,425,58.442
62.181,426,58.0
71.391,427,67.25
71.37,428,64.394
58.172,429,48.313
63.938,430,60.089
,431,
57.988,432,55.627
59.558,433,49.101
62.371,434,58.767
71.014,435,61.409
50.91,436,37.572
74.001,437,62.13
60.927,438,53.061
48.428,439,38.67
56.557,440,51.897
71.315,441,63.844
78.125,442,65.313
54.96,443,43.655
62.739,444,57.817
64.231,445,57.371
70.965,446,66.69
78.717,447,71.227
73.78,448,73.476
59.078,449,53.066
63.429,450,59.543
61.139,451,51.649
51.397,452,48.339
72.418,453,58.941
58.994,454,51.174
,455,
55.617,456,59.704
62.369,457,57.773
,458,
63.49,459,54.673
44.218,460,40.472
68.769,461,64.995
55.408,462,42.441
50.869,463,42.229
54.867,464,47.431
73.94,465,69.054
,466,
65.165,467,61.201
55.579,468,47.559
70.833,469,65.611
69.123,470,62.228
59.868,471,56.414
57.774,472,57.783
63.176,473,56.68
,474,
71.406,475,62.227
59.956,476,50.601
56.438,477,57.098
76.326,478,77.695
59.545,479,60.926
64.021,480,60.489
64.858,481,48.317
60.123,482,49.572
61.009,483,53.308
59.74,484,55.855
,485,
61.678,486,53.609
61.485,487,46.52
57.093,488,57.432
,489,
77.234,490,79.714
76.127,491,82.662
60.744,492,48.884
75.083,493,79.171
60.313,494,54.14
61.95,495,54.456
60.258,496,55.827
61.904,497,45.73
78.234,498,80.155
61.892,499,55.663
74.383,500,77.522
77.962,501,73.634
57.992,502,48.434
74.008,503,74.01
71.459,504,75.84
70.849,505,65.582
75.848,506,75.834
62.321,507,44.748
80.082,508,66.581
73.963,509,78.036
75.143,510,74.506
69.284,511,60.39
71.338,512,30.796
56.674,513,49.044
68.082,514,34.799
76.225,515,43.662
46.036,516,32.602
31.226,517,12.147
64.877,518,35.086
44.576,519,39.507
53.684,520,45.704
56.547,521,53.81
56.814,522,26.132
75.352,523,70.459
49.744,524,55.288
56.558,525,27.989
66.647,526,55.095
63.163,527,51.071
64.24,528,50.631
64.491,529,41.84
74.87,530,77.347
72.971,531,64.948
61.401,532,43.056
74.125,533,29.056
66.062,534,49.634
73.777,535,67.113
58.628,536,42.05
78.853,537,64.296
75.676,538,60.706
61.126,539,42.036
67.351,540,46.741
76.36,541,52.979
75.694,542,62.67
41.802,543,18.461
56.209,544,25.373
61.51,545,50.505
57.874,546,51.774
61.712,547,36.162
30.981,548,-7.747
14.295,549,-16.243
58.534,550,53.175
62.897,551,50.652
73.026,552,41.184
66.125,553,52.941
65.552,554,56.384
71.394,555,46.206
65.994,556,52.341
65.667,557,48.413
66.007,558,50.996
63.002,559,34.031
58.517,560,31.791
58.577,561,45.997
52.51,562,43.471
72.61,563,57.813
75.419,564,69.112
70.072,565,69.194
69.367,566,59.925
60.757,567,48.384
75.892,568,67.36
48.429,569,35.466
61.677,570,57.894
58.719,571,30.909
52.045,572,28.123
59.87,573,36.262
60.71,574,30.284
58.722,575,37.434
62.023,576,52.235
60.399,577,37.558
41.749,578,26.358
62.973,579,55.156
53.419,580,38.946
