index,SMILES,PubChem_CID,sel_method
19767,CC(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=C(N=C3Cl)C=O)OC(=O)C)OC(=O)C,504743,maxmin
101146,CC(C)N(C)CC1=C(N(C2=CC(=NN2C1=O)NCC(F)F)CC(=O)C)C=O,142564845,maxmin
134451,CC1=CC(=C(C=C1)COC2=CC(=CC(=N2)C3=CCN(CC3)CC4=NC5=C(N4C)C=C(S5)C=O)F)F,169943379,maxmin
87066,C1CCC(C1)CN(CC2CC2)C(=O)C3=CC=CC(=C3F)C4=CC(=CC=C4)N5C(=C(C=N5)C=O)C6CC6,129024488,maxmin
9209,C1=CC=C2C(=C1)C(=CN2)C[C@@H](COC3=CN=CC(=C3)C4=CC5=C(NN=C5C=C4)C=O)N,45481731,maxmin
168400,CCOC(=O)[C@@H]([C@H](C1=CC2=C(C=C1)C(=CN2)C=O)C(C)C)NC(=O)OCC3=CC=CC=C3,102185948,maxmin
17505,CC1=C2C(=C(N1)C=O)CC3C4(CCN3C2=O)C5=CC=CC=C5NC4=O,171342966,maxmin
134560,CN(C)/N=C(\C1=CN(C(=O)C=C1C=O)C2(CC2)CF)/OS(=O)(=O)C(F)(F)F,169973144,maxmin
153739,CC1CC(C1)(C2=CC(=CC(=C2)F)NC(=O)C3=NC4=C(C(=C3)C=O)OCC4(C)C)C5=NN=CN5C,175953507,maxmin
156831,CCOC(=O)C(CC1=C(C2=C(CCC1)C(=C(C=C2)O)C)C3=CC4=NC(=CN4C=C3)C=O)(F)F,177232549,maxmin
212272,C1=CSC2=NC(=C(N21)C=O)N(CCO)CC(F)F,107480698,maxmin
289414,COC(=O)CN(CCN1CCOCC1)S(=O)(=O)C2=C(C=CS2)C=O,19434126,maxmin
124305,CC1(CCN1)C#CC2=C(C=CN=C2)C3=C(C(=C(N3)CCNC)C=O)NC4=C(C(=CC=C4)F)OC,163224209,maxmin
70516,CC(C)(C1=CC(=C(C=C1)C2=CC(=C(S2)NC3=CC=CC(=N3)C(C4=CN(N=N4)CCO)O)C=O)F)O,89094515,maxmin
17084,CS(=O)C1=C(C=C(C=C1)C(CC2CCCC2)C3=C(C4=C(N3)N=CC=C4)C=O)Cl,127037883,maxmin
141974,CCC1(CN(CCN1C2=CSC(=N2)C=O)C3=CC=CC4=C3C=CC(=C4)F)C5=CC=CC=C5,174260316,maxmin
100533,C1CN(CCC1CCCCOC2=NC(=C(C=C2)C=O)Cl)C(=O)C(C3=CC=CC=C3)(C(F)(F)F)O,142325163,maxmin
166204,CC(C)(C)C(=O)N1C(=O)C2=NC(=CN=C2N=C1N=CN(C)C)C=O,73033327,maxmin
95272,C1=CC(=C(C=C1F)F)CC(=N)SC(=N)C2=CNC(=C(C2=O)O)C=O,139374630,maxmin
141526,C1CN2C(=C(C=N2)C=O)C(=O)N1C3=CC=C(C=C3)CCOC(F)(F)F,174163527,maxmin
121895,CC(=O)CC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)C3=CC=C(C=C3)CN4C=CC(=C4)C=O)F,158739505,maxmin
75397,C1[C@H]2CSC(=N[C@]2(CO[C@H]1C3=NC(=CO3)C=O)C4=C(C=C(C=C4)F)F)NC(=O)C5=CC=CC=C5,90331257,maxmin
26630,C1CCC(CC1)NC2=C(C3=C(O2)CCCC3=O)C=O,102258071,maxmin
66932,CN/C=C\C1=C(N=C(N(C1=O)C2=CCC(C=C2)OCC(F)(F)F)OCC(F)(F)F)C=O,88556330,maxmin
118233,CC1=C(C(=NN1C)C=O)C(C2=C(C=C(C=C2)N3CCC(CC3)(F)F)F)N(C)C4=CC5=C(C=C4)N=CN5,156030065,maxmin
158382,CC1=C2C(=CC(=CN2N=C1C3=CC4=C(N3CC5CC5)C=C(C=C4)NC[C@H](C(C)(C)O)F)C=O)OC,178258172,maxmin
177858,CC1=CC(=CC2=C1C(=O)N(C2)[C@@H](C)C3CC3)N4C=NC=C4C=O,146164023,maxmin
283895,COCCOCOC1=C(SC(=C1OCOCCOC)C#N)C=O,18359131,maxmin
134987,CCCC(CCN(CCNC)C1=C(OC2=C1C=C(C=C2)C(F)(F)F)C=O)CCO,170095066,maxmin
265113,C/C(=C/1\C(CC(=N1)SC)(C)C)/C2=C(C(=C(N2)C=O)CCC(=O)OC)CC(=O)OC,11144273,maxmin
270817,C1=CC2=C(C(=CN=C2C=C1C3=CSC(=C3)C=O)C#N)NC4=C(C=C(C=C4)Cl)Cl,10224171,maxmin
95048,C1[C@H](CN2C1=C(NC2=S)C=O)C3=CC(=CC(=C3)F)F,139294146,maxmin
5801,CC(=CCC1=C(C(=C(C=C1O)O)C2=C(C3=CC(=C4C(=C3O2)C=CC(O4)(C)C)O)C=O)OC)C,155544402,maxmin
243471,C/C(=C/NC)/C1=C(C(=CN1C)C(=O)N2CC3C(C2)(C3(F)F)C4=CC=CC=C4)C=O,162620246,maxmin
158338,CC1(CC1)NS(=O)(=O)C2=CN3C(=C(N=C3C4=NN=C(S4)C(F)F)C=O)C(=C2)CC(=O)O,178165149,maxmin
166058,CC1=CC=C(C=C1)C2=C(C(=C3N2C=CC=C3C=O)C(=O)C4=CC=C(C=C4)OC)I,71504527,maxmin
81251,C1CC(C(N(C1)C2CNCC3=C2C(=NN3CC4CC4)C=O)Cl)C5=CC=CC=C5F,118483493,maxmin
111808,C1C(NC(=O)C2=C(N(N=C21)C3=NC=C(C=C3)C#N)C=O)CCC4=CC(=CC=C4)OCC(F)(F)F,146606861,maxmin
125350,C=CCC12CC[C@H]1[C@@H]3CN4C=C(C(=O)C(=C4C(=O)N3C2)C=O)C(=O)NCC5=C(C=C(C=C5F)F)F,163927714,maxmin
262617,CC(C)(C)OC(=O)NCCCC[C@@H](C(=O)OC)NC1=C(C(=NC(=N1)N)N(C)C2CCCCC2)C=O,60148316,maxmin
289111,C1CN(CCN1CCCCSC2=CC=C(S2)C=O)C(=O)C3=CC(=CN3)C4=CC=CC=C4,19372988,maxmin
122536,C1=CC(=CC=C1OS(=O)(=O)C(F)(F)F)SC2=C(SC=C2)C=O,160252412,maxmin
136215,CN1C2=C(C=C(C(=N2)CCN(C)CCCF)C=O)N=C1C3=CC(=C(N3CC4CC4)C(=C)O)C=C,170604313,maxmin
270116,C1CCN2C(C1)CCC2C3=CC=C(C=C3)C4=C(C=CS4)C=O,9922755,maxmin
276200,CN1C(=C(N(C1=O)C2=CC(=C(C=C2)Cl)Cl)SC)C=O,13065519,maxmin
271025,C1=CC(=C(C(=C1)Cl)Cl)S(=O)(=O)NC2=NC=C(N=C2OCC3=CC=C(O3)C=O)Cl,10310703,maxmin
110904,C/C=C/C1(CC(C1)COC2=C(C=C3C=C(C(=O)NC3=C2)C=O)Cl)F,146390822,maxmin
