index,SMILES,PubChem_CID
246829,CC1=C(C(=C(C(=C1NC(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24)C)OS(=O)(=O)F)C)C=O,165830573
27771,C1C[C@@H]([C@H](C1)C2=CNC3=C2C=C(C=C3)I)C=O,11325241
66314,C1=CC(=CC=C1C(=N)N)C(CC2=C(C(=C(C(=C2F)F)F)F)F)(C(=O)OC(=O)C(CC=O)N)N,88383915
70945,C1CC(C1)(CC(C(C=O)O)NCl)F,89149487
76294,COC1C=CC(=NC2=NC(=NC=C2F)Cl)CC1C=O,90786086
84284,C1C2C1(C=C(C=C3C2OCOC3)F)C=O,123248570
110543,C1CS(=O)CCN1C2=NC(=CN(C2=O)SF)CCC=O,146251917
125316,CC(C)(C=O)OC1=C(N=C(C=C1)NC2=C(C=NN2)F)N,163892875
132731,CN1CC2=CSC3=C(C(=O)C4=CC(=C(C1=C4N23)F)F)C=O,169152900
177160,CC1=CC=C(C=C1)N2C3=C(C(C(O3)C=O)Cl)C4=CC=CC=C4C2=O,139214944
177340,CC(C=O)C1=C(N=C(N=C1OC)N(C)C)NC,139234332
241538,C1C(OC(N1)(C2=CN=C(C=C2)C#N)C(F)(F)F)C=O,151627172
264435,CO[C@]12C=C[C@H](C[C@@H]1C#N)[C@](C2=O)(C=O)OC,10537703
276703,C1C2=CNC(=C2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4)C=O,13307129
1147,C1=CC(=CC(=C1)S(=O)(=O)NCC2=NC=C(C=C2)C(=O)N[C@@H](CC(=O)O)C=O)C3=NOC(=O)N3,135402731
90030,CC1=C(C=CC(=C1C#N)F)C2CN3CCN(CC3CO2)C(=O)CC4=CC(=C(C=C4)C=O)COC,132127592
92005,C1CN(C(=O)C1(C=O)O)C2=NN(N=C2)C3CC(C(OC3)C4=C(C=CC(=C4)F)F)N,134575055
15727,C1[C@@H](CC(=C1[C@@H](C=O)C(F)(F)F)N)C(=O)O,145946086
