id,bde_gxtb_kcal
88163,106.259
51081,104.937
132564,101.027
18725,105.731
68578,99.8
115831,104.156
145797,105.819
55054,105.668
120301,106.506
26728,102.615
26494,99.342
209137,90.647
148962,90.769
26994,61.215
72281,
10102,108.128
170793,107.014
40038,107.244
92228,106.746
220348,113.034
202961,103.412
119315,66.391
632,105.326
209553,102.832
184394,106.277
14968,97.926
18826,106.678
214846,97.751
48963,116.93
201319,106.04
121185,101.247
117798,107.203
110500,123.705
39929,62.932
104,107.426
107338,106.808
148979,99.472
35893,111.006
202700,107.234
112137,91.433
26133,131.581
112871,106.291
117199,129.63
112764,105.968
154799,102.829
116845,104.774
208371,102.252
7701,109.08
25782,107.523
19130,107.971
1446,107.116
43275,106.298
115507,109.364
63882,108.696
24246,107.262
66651,99.154
212632,85.549
15189,113.315
115156,103.503
3486,110.102
200055,103.131
103715,106.361
97745,101.841
114988,99.301
151222,106.259
208502,106.208
71002,103.338
118962,101.103
134325,104.009
106179,104.762
22806,107.387
109559,101.385
124417,107.819
111980,111.093
122661,115.028
110183,87.854
59238,108.069
209704,111.554
22110,105.657
186947,107.381
146548,105.498
64942,102.186
86715,83.777
27284,117.179
66030,105.919
162,110.83
122459,110.989
120400,111.212
58048,101.787
115423,113.269
23949,102.525
112012,110.59
211268,105.836
16494,108.487
15443,73.428
220023,108.176
120136,110.041
31574,104.373
116954,109.356
111792,104.494
19799,93.066
5765,107.165
109734,108.001
207278,105.925
29161,80.444
115269,104.872
191595,107.615
201876,105.342
118515,107.487
112516,111.948
25467,104.536
40684,104.755
109587,102.994
114089,106.726
125811,114.524
26995,107.931
96409,
11873,102.433
203795,103.991
24005,117.912
1124,105.009
200995,113.786
18496,106.607
16228,103.33
25789,103.805
16480,105.859
136319,107.297
213438,110.994
185658,103.974
123401,106.877
24745,107.756
203640,108.8
22157,106.901
152434,110.309
148476,102.429
213731,112.505
93869,96.335
182274,115.047
211371,109.311
76715,104.359
214446,108.62
114387,106.78
112833,120.619
64206,107.232
3100,106.594
108821,98.003
101283,104.665
21460,107.974
96519,
148687,112.247
110638,109.729
20140,105.908
151225,103.685
124418,107.047
211179,107.676
205914,108.661
206182,109.789
216982,122.492
114886,115.78
123931,109.405
121138,110.366
21280,105.654
19580,97.345
118979,115.293
3315,106.169
71277,107.584
44121,107.385
26301,131.581
75069,95.636
117685,104.664
171075,108.1
74415,104.511
105000,102.392
53962,110.439
33566,100.811
49432,43.647
88296,107.638
176350,101.471
23976,104.818
2831,91.16
27614,77.786
16357,103.338
117546,101.16
46964,105.53
6003,105.753
117544,108.36
95731,104.541
20997,107.911
18280,102.899
125080,108.802
61656,107.356
96385,
81545,110.483
61020,109.605
59151,106.423
114561,103.306
15284,107.045
183240,102.972
63706,104.843
176405,102.934
86913,83.582
115460,103.159
1773,105.426
211178,107.676
136440,105.49
80401,91.469
4847,110.001
20828,104.498
211129,111.505
102189,79.06
202844,107.399
151288,105.979
124086,104.661
17175,104.556
184539,106.3
52538,115.377
15383,107.412
25185,111.655
111509,110.37
115389,101.875
217641,101.52
24128,
67329,104.562
183076,106.489
27336,78.557
128528,106.456
25879,104.735
25332,106.503
43897,103.241
1578,106.903
10762,106.711
117370,112.782
20985,109.002
96294,104.902
11311,106.172
30258,104.267
96008,102.945
51746,103.683
214606,103.364
219522,109.612
185019,105.688
206014,108.532
146533,106.116
12038,106.901
210579,104.705
213122,105.792
117690,104.023
24633,78.091
200807,106.061
151187,106.268
14998,106.395
120895,104.729
120302,102.056
101784,110.939
102869,102.568
18694,105.346
112733,112.771
12081,107.468
151304,107.457
21749,107.424
55498,100.93
210394,104.571
109881,104.99
211995,115.241
209184,93.745
29178,67.099
44385,106.891
219177,104.078
6825,108.153
124163,108.295
99312,109.671
113611,105.645
26500,111.72
8487,108.7
175535,105.371
208983,91.527
117131,115.177
82391,104.611
217203,107.035
23643,108.251
26153,109.387
119015,111.263
213775,111.348
206821,71.9
215850,100.39
152576,114.689
108876,110.125
27194,127.164
32605,104.84
111207,109.037
111087,105.539
151472,110.677
25359,106.764
206785,109.928
128752,101.324
86558,104.579
216624,110.118
215534,104.717
8561,110.001
30655,94.534
151530,108.903
22084,109.917
216378,112.196
80005,110.61
9423,106.921
43,106.98
205089,98.514
27095,109.577
26246,111.541
145799,103.674
176631,103.704
209843,77.33
117966,76.861
200185,114.194
50542,24.142
219028,103.048
18502,103.764
23670,99.552
15625,48.948
