donor_id,acceptor_id,donor_smiles,acceptor_smiles
FMJIKKXSIVRJGO-UHFFFAOYSA-N,WICNNCCWGAQOQN-UHFFFAOYSA-N,CC(C)=CCC1C(C)=CCC2(C)C(=O)c3c(c(C=O)c(O)c(O)c3C(C)C)C(=O)C12,CC(Nc1ccc(-c2cccc(C=O)c2)cn1)c1ccccc1
FIEMTYCYDBJHMQ-UHFFFAOYSA-N,YZFBSRWYFQIBFN-UHFFFAOYSA-N,CCc1ccc(Cc2nc3c(F)cccn3c2C=O)cc1,O=Cc1cc(F)ncc1-c1ccc(Cl)cc1Cl
YVUBNSSWSOVSEN-UHFFFAOYSA-N,DGHSKNQZTQQXPM-MXILELMHSA-N,O=Cc1cc([N+](=O)[O-])ccc1Sc1ccc(Cl)cc1Cl,C\C=C/C=C(\C=C\CCC)c1cc(C/C(C)=C(/C)Nc2cc(SCC)c(C)cc2F)c(C=O)s1
IZGKBOYNQXDICV-UHFFFAOYSA-N,AFMBMEWOTDJSQP-UHFFFAOYSA-N,O=Cc1c(Oc2ccc(C(F)(F)F)cc2Cl)cccc1[N+](=O)[O-],COc1cc2ccsc2c(C=O)c1F
DBFDSPQZBUTQDD-XFKSJGNHSA-N,NVTPYRQVYROPPB-UHFFFAOYSA-N,CC(C)c1cc(C=O)c2c(c1O)O[C@@H]1O[C@@H](O)[C@H]3C(C)(C)CCC[C@@]213,O=Cc1ccnc(OCC(F)F)c1
GGQWLSPOXZAJGX-UHFFFAOYSA-N,ZKYPGAGIMYIODA-UHFFFAOYSA-N,O=Cc1ncc(-c2cccc(C(F)(F)F)c2)cc1-c1cccc(C(F)(F)F)c1,O=Cc1ccc(C(=O)O)cc1S(=O)(=O)O
AEOIZHSEXJLPEA-UHFFFAOYSA-N,DSTJTQAKRNPWFU-UHFFFAOYSA-N,CC1(C(N)=O)CC(c2ccc(F)c(Cl)c2)Nc2cnc(C=O)cc21,O=Cc1ccc(C(F)F)c(CCC(=O)O)c1
KXJHUNOLSYUXHS-UHFFFAOYSA-N,KVRLRWINDMTKLG-UHFFFAOYSA-N,CC(O)N(CC1CCCC1)C(=O)CCCOc1c(F)ccc(C=O)c1[N+](=O)[O-],O=Cc1sc2c(F)cccc2c1Cl
LUUBSIRHLTWNGQ-UHFFFAOYSA-N,KNDGAAOBWVEIKR-UHFFFAOYSA-N,O=Cc1cn(CC(=O)Nc2ccccc2C(F)(F)F)c2ccccc12,C[Si](C)(C)c1cc(Br)c(C(F)(F)F)c(C=O)c1F
LEEIJROYIIGPFU-UHFFFAOYSA-N,NVMPGPIJTQUBRQ-UHFFFAOYSA-N,Nc1cc(C=O)c([N+](=O)[O-])nc1C(F)F,Cc1ccc(N(c2ccc(C=O)cc2)c2ccc3c4c(cccc24)CC3)cc1
ZKUCPOQLSHJFLU-UHFFFAOYSA-N,HOKUTAXDALTPRF-UHFFFAOYSA-N,COc1ccc(CNc2nc(N)nc(OCC3CCCCC3)c2C=O)cc1,CC1(C)CN(c2ccc(C=O)cc2F)CCO1
KUQUAZANHVEZTP-UHFFFAOYSA-N,AMMSCUGPDYZXLM-UHFFFAOYSA-N,CCCc1ccc(-c2ccc(-c3ccc(C=O)c(F)c3)c(F)c2)cc1,O=Cc1sccc1-c1c(F)cccc1Br
GXUGRMAIFULRBK-UHFFFAOYSA-N,SLCRENXIFPCMHC-UHFFFAOYSA-N,CCCCCCOc1c(C#N)ccc2c(OCCCCCC)c(C=O)ccc12,O=Cc1cn(-c2ncccn2)nc1C(F)(F)F
QYDDDTNVUQPMPE-UHFFFAOYSA-N,HOEMIFLJMACYNB-UHFFFAOYSA-N,COc1cc(C(F)F)c(N)c(C=O)n1,O=Cc1ccc2ccn(Cc3cc(C(F)(F)F)ccc3C(F)(F)F)c2c1
