ald_id,smiles,canon
AGDNIICUNPJAJY-UHFFFAOYSA-N,O=Cc1cc(-c2cccc(C(=O)NCc3ccccc3)c2)ccc1O,O=Cc1cc(-c2cccc(C(=O)NCc3ccccc3)c2)ccc1O
HPRQXUGJVLNHTE-UHFFFAOYSA-N,O=Cc1ccc(CC2CCCC2)cc1,O=Cc1ccc(CC2CCCC2)cc1
LIZIYRVVNJDYTN-UHFFFAOYSA-N,CC1COCCN1c1ccc(F)cc1C=O,CC1COCCN1c1ccc(F)cc1C=O
JASFYLCGBIKWNT-ZDUSSCGKSA-N,C[C@H](OC(=O)COc1ccc(C=O)cc1)C(=O)NCc1ccc(F)cc1,C[C@H](OC(=O)COc1ccc(C=O)cc1)C(=O)NCc1ccc(F)cc1
WWCUSUVBHZIZRX-UHFFFAOYSA-N,COc1cc(OC)c2[nH]c(C(=O)O)cc2c1C=O,COc1cc(OC)c2[nH]c(C(=O)O)cc2c1C=O
AERBPVKCWDAIIB-UHFFFAOYSA-N,CC(=O)Nc1ccccc1Oc1cccc(F)c1C=O,CC(=O)Nc1ccccc1Oc1cccc(F)c1C=O
NPHHCAGJTCKHMZ-UHFFFAOYSA-N,O=Cc1cccc(-c2cccc(F)c2)c1CO,O=Cc1cccc(-c2cccc(F)c2)c1CO
VQDJGMNNQPROCJ-UHFFFAOYSA-N,COc1cc(C=O)c2cc(C)n(C(C)=O)c2c1O,COc1cc(C=O)c2cc(C)n(C(C)=O)c2c1O
UPMWSCBOBUSVHY-UHFFFAOYSA-N,COc1cccc(C(O)COc2c(F)cccc2C=O)c1,COc1cccc(C(O)COc2c(F)cccc2C=O)c1
RLHMVKRLGVMAIE-UHFFFAOYSA-N,COC(=O)c1ccc(COc2ccc(OC)cc2C=O)nc1,COC(=O)c1ccc(COc2ccc(OC)cc2C=O)nc1
FKMOAZYMWFCEAF-UHFFFAOYSA-N,O=Cc1cc(C(=O)O)c(Nc2ccc3sccc3c2)c(F)c1F,O=Cc1cc(C(=O)O)c(Nc2ccc3sccc3c2)c(F)c1F
XAERJJRGAWIBKY-UHFFFAOYSA-N,CCN(c1cccc(F)c1)c1ccc(C=O)cc1C,CCN(c1cccc(F)c1)c1ccc(C=O)cc1C
BPOOBTXCXAIQJQ-UHFFFAOYSA-N,O=Cc1c(Cl)cccc1Oc1ccccc1F,O=Cc1c(Cl)cccc1Oc1ccccc1F
FKVWZXOENWEHFN-UHFFFAOYSA-N,CC(Oc1ccc(C=O)cc1)C(=O)Nc1ccc(F)c(F)c1,CC(Oc1ccc(C=O)cc1)C(=O)Nc1ccc(F)c(F)c1
YOUXSCBHQKNTOL-UHFFFAOYSA-N,CC(C)C(CF)c1cccc(C=O)c1,CC(C)C(CF)c1cccc(C=O)c1
BIOUKTNSVJINJZ-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCC(C(F)(F)S(=O)(=O)c2ccccc2C=O)CC1,CC(C)(C)OC(=O)N1CCC(C(F)(F)S(=O)(=O)c2ccccc2C=O)CC1
XCFBJBBVHDDEPN-UHFFFAOYSA-N,COC(=O)COc1ccccc1-c1cc2cc(C=O)ccc2o1,COC(=O)COc1ccccc1-c1cc2cc(C=O)ccc2o1
RYSJAQSTIILRKM-UHFFFAOYSA-N,COc1cc(C=O)cc(OC)c1O[Si](C)(C)C,COc1cc(C=O)cc(OC)c1O[Si](C)(C)C
GASAFKIJKKCDDQ-UHFFFAOYSA-N,CCCCCc1nc(C=O)ccc1F,CCCCCc1nc(C=O)ccc1F
HZNOPWKQZZXRIF-UHFFFAOYSA-N,CCOc1cc(C=O)ccc1F,CCOc1cc(C=O)ccc1F
BPDFZGCHPUQPJZ-UHFFFAOYSA-N,COc1nccn2nc(-c3ccc(F)cc3)c(C=O)c12,COc1nccn2nc(-c3ccc(F)cc3)c(C=O)c12
MAAXWPXWTJJZDU-UHFFFAOYSA-N,CC(C)N1CCN(Cc2ccc(F)c(C=O)c2)CC1,CC(C)N1CCN(Cc2ccc(F)c(C=O)c2)CC1
RCOMZYINDQPMJG-UHFFFAOYSA-N,NCc1nc(F)cc(C(F)F)c1C=O,NCc1nc(F)cc(C(F)F)c1C=O
ZEMCJOVOQZLBBY-UHFFFAOYSA-N,CC(C)(C)OC(=O)NCCc1cc(F)cc(C=O)c1,CC(C)(C)OC(=O)NCCc1cc(F)cc(C=O)c1
OGUGOHRWQWHRDS-UHFFFAOYSA-N,COc1ccc(Nc2nc(N)c(C=O)c(OC(C)C)n2)cc1,COc1ccc(Nc2nc(N)c(C=O)c(OC(C)C)n2)cc1
